name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 05:49:07 +0000,35159d4b-e300-45fb-b03f-9b3c109b156d,2021-05-30T06:35:04.540Z,2021-05-30T06:50:02.294Z,completed,completed normal,23.59068586,0.26523526,0.371584606,46.48606482,7718.559387,1480.313627,409.3415371,18639766.67,177.2837255,233.7789166,764,2792952.68,119062.47,18639769.17,26189313.89,1471,2194477.73,2235,1569
API Generated 2021-05-30 08:07:20 +0000,451a802f-bf3d-495f-8bec-dd7682dfcca6,2021-05-30T08:07:22.203Z,2021-05-30T08:23:16.698Z,completed,completed normal,27.71559995,0.952327183,3.688945131,40.57919074,7854.2775,650.9686003,778.4882761,23608166.67,1187.804173,1566.322978,766,3698880.67,131474.27,23608168.89,26247288.89,1331,2821011.54,2097,1335
API Generated 2021-05-30 04:14:46 +0000,1da0fd57-86fe-4ca8-8268-4c5e9e6b9dad,2021-05-30T04:31:56.836Z,2021-05-30T04:47:17.380Z,completed,completed normal,28.45152901,0.406161827,3.20763447,49.3549535,7463.902142,1417.330345,405.0439725,24556602.78,294.5395983,423.9225426,761,3810025.49,137239.33,24556602.78,26196513.89,1380,2912945.59,2141,1341
API Generated 2021-05-30 01:38:05 +0000,c6b79dd9-7d33-4870-88b1-cce94fa00877,2021-05-30T01:38:06.754Z,2021-05-30T01:54:05.568Z,completed,completed normal,25.00555377,0.58382375,3.46222768,47.63728941,5830.960417,518.2025039,211.1099238,25451802.78,1926.906148,7465.564985,765,3413604.09,143857.18,25451802.5,26187863.89,1349,2704467.62,2114,1339
API Generated 2021-05-30 04:14:46 +0000,232942a0-763d-4428-8bc2-5cb0c3ec157a,2021-05-30T04:14:49.907Z,2021-05-30T04:32:15.149Z,completed,completed normal,21.47772616,0.56384556,0.143066659,47.12982419,4851.199684,492.2459882,226.4773883,18463125,745.8067265,3326.980245,764,2485242.67,121585.65,18463126.94,26147091.67,1952,2010311.97,2716,2208
API Generated 2021-05-30 06:50:13 +0000,c68ef0ab-551b-4d19-92c9-0369c2577f4d,2021-05-30T07:36:54.961Z,2021-05-30T07:51:31.379Z,completed,completed normal,24.8671317,0.444949776,3.210363434,48.84789073,6579.518707,1283.161155,470.5925719,24966016.67,332.3475466,498.0721015,761,3860159,142321.5,24966018.06,26195002.78,1349,2944213.74,2110,1341
API Generated 2021-05-30 08:07:20 +0000,98103bbb-a35f-41d8-a5bb-2376f6a905c7,2021-05-30T08:23:31.642Z,2021-05-30T08:39:39.553Z,completed,completed normal,21.44347026,0.182933972,0.372911357,44.76716972,1023.9139,959.7936558,573.8674738,18796783.33,291.6753937,512.6573382,764,2794652.76,119582.84,18796782.22,26219369.44,1879,2189839.4,2643,2200
API Generated 2021-05-30 09:24:11 +0000,76a8e580-e984-4bb2-8c1c-64ad0e715330,2021-05-30T09:39:43.151Z,2021-05-30T09:55:11.368Z,completed,completed normal,20.27278147,0.757546341,3.408622549,47.11690682,5531.966726,1512.986866,303.7063128,25751794.44,365.0883555,755.4679273,764,4047321.81,147968.2,25751796.39,26199691.67,1329,3068706.64,2093,1335
API Generated 2021-05-30 08:07:20 +0000,0834102b-b773-4906-b6de-5bbc1b312d6e,2021-05-30T08:37:50.170Z,2021-05-30T08:52:44.884Z,completed,completed normal,21.73312998,0.238316439,1.287885941,42.6912821,1603.601719,714.7546102,668.0772484,20735650,328.7499005,778.290145,762,3115506.63,127776.13,20735647.78,26230344.44,1412,2447584.22,2174,1442
API Generated 2021-05-30 04:14:46 +0000,993a60c7-ebf3-46ea-b20f-c0c957a693bc,2021-05-30T05:15:29.224Z,2021-05-30T05:29:51.720Z,completed,completed normal,23.71045903,0.152739147,2.931753918,43.99958852,4036.991587,1438.391845,556.2829011,23272016.67,1019.946213,1344.973544,764,3653278.94,136387.93,23272018.61,26213575,1347,2777386.32,2111,1339
API Generated 2021-05-30 07:06:28 +0000,0f632e5c-f6c5-41a9-b9c4-344defa95f5d,2021-05-30T07:51:15.580Z,2021-05-30T08:05:36.402Z,completed,completed normal,27.15079425,0.910580042,1.365281191,41.67852789,3295.442533,1500.205971,824.0654349,20413344.44,37.1766336,49.0237505,765,3145471.83,124025.74,20413346.11,26230872.22,1320,2455731.76,2085,1339
